ID,Average User Rating,User Rating Count,Price,Languages,Size,Update_Gap,Name,Subtitle,age_rating,Puzzle,Simulation,Action,Board,In-app Purchases
284921427,0,3553.0,2.99,17.0,15853568.0,3245.0,0,0,4,1.0,0.0,0.0,0.0,0
284926400,0,284.0,1.99,1.0,12328960.0,3597.0,0,0,4,0.0,0.0,0.0,1.0,0
284946595,0,8376.0,0.0,1.0,674816.0,3343.0,0,0,4,0.0,0.0,0.0,1.0,0
285755462,0,190394.0,0.0,17.0,21552128.0,3233.0,0,0,4,1.0,0.0,0.0,0.0,0
285831220,0,28.0,2.99,15.0,34689024.0,3656.0,0,0,4,0.0,0.0,0.0,1.0,0
286210009,0,47.0,0.0,1.0,48672768.0,3925.0,0,0,4,1.0,0.0,0.0,0.0,1
286313771,0,35.0,0.0,1,6328320.0,1933.0,0,0,4,1.0,0.0,0.0,0.0,0
286363959,0,125.0,0.99,1.0,64333824.0,3713.0,0,0,4,0.0,0.0,0.0,1.0,0
286566987,0,44.0,0.0,1.0,2657280.0,3399.0,0,0,4,0.0,0.0,0.0,1.0,0
286682679,0,184.0,0.0,1.0,1466515.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0
288096268,0,5072.0,0.0,1.0,7086403.0,96.0,0,0,4,1.0,0.0,0.0,0.0,0
288669794,0,526.0,0.0,1.0,845008.0,337.0,0,0,4,0.0,0.0,0.0,0.0,0
288689440,0,989.0,0.99,1.0,3643392.0,3902.0,0,0,4,1.0,0.0,0.0,0.0,0
288918962,0,2358.0,0.0,1.0,731525.0,55.0,0,0,4,1.0,0.0,0.0,0.0,0
289217958,0,112.0,0.0,5.0,122826752.0,2409.0,1,0,4,0.0,0.0,0.0,1.0,1
289217958,0,112.0,0.0,5.0,122826752.0,2409.0,1,0,4,0.0,0.0,0.0,1.0,1
289382458,0,504.0,0.0,1.0,444163.0,400.0,0,0,4,0.0,0.0,0.0,1.0,0
290493286,0,95971.0,0.0,1.0,26820692.0,1527.0,0,0,4,1.0,0.0,0.0,0.0,1
290614255,0,357.0,0.0,1.0,52236288.0,3866.0,0,0,4,1.0,0.0,0.0,0.0,1
291074572,0,7.0,0.99,1.0,1530880.0,2959.0,0,0,4,0.0,0.0,0.0,1.0,0
291723451,0,30.0,0.99,1.0,4341760.0,3825.0,0,0,9,0.0,0.0,0.0,0.0,0
292242592,0,637.0,0.99,1.0,22873088.0,3147.0,0,0,4,1.0,0.0,0.0,0.0,0
292274288,0,1563.0,0.0,1.0,6550985.0,0.0,0,0,4,1.0,0.0,0.0,0.0,0
292421271,0,41869.0,2.99,1.0,75041792.0,3475.0,0,0,9,0.0,0.0,1.0,0.0,1
292538570,0,72428.0,0.0,1.0,55071744.0,3760.0,0,0,9,0.0,0.0,0.0,1.0,0
292975610,0,190.0,0.99,8.0,4357120.0,3874.0,0,0,4,0.0,0.0,0.0,1.0,0
294166538,0,69.0,2.99,1.0,44329984.0,2953.0,0,0,4,0.0,0.0,0.0,0.0,0
294193726,0,523.0,2.99,17.0,9543680.0,3143.0,0,0,4,1.0,0.0,0.0,0.0,0
294596096,0,23.0,0.0,1.0,1298432.0,2435.0,0,0,4,0.0,0.0,0.0,0.0,1
294631172,0,156.0,5.99,5.0,1751040.0,2827.0,0,0,4,0.0,0.0,0.0,1.0,0
295445501,0,3062.0,7.99,6.0,7517184.0,3805.0,0,0,4,0.0,0.0,0.0,1.0,0
295462558,0,2425.0,0.99,1.0,9641984.0,2138.0,0,0,4,1.0,0.0,0.0,0.0,0
296183853,0,518.0,2.99,17.0,15837184.0,3119.0,0,0,4,1.0,0.0,0.0,0.0,0
296756437,0,5488.0,0.99,6.0,5874688.0,3795.0,0,0,4,0.0,0.0,0.0,1.0,0
296853351,0,3521.0,0.0,1.0,9402423.0,0.0,0,0,4,0.0,0.0,0.0,1.0,0
297558390,0,273687.0,0.0,1.0,7774384.0,1472.0,0,0,9,0.0,1.0,0.0,0.0,1
297643414,0,67.0,0.99,1.0,12423168.0,2227.0,0,0,4,0.0,0.0,0.0,1.0,0
298748403,0,5931.0,0.0,1.0,7705600.0,3850.0,0,0,9,0.0,0.0,1.0,0.0,0
298908505,0,2798.0,1.99,1.0,15547392.0,3112.0,0,0,4,0.0,0.0,0.0,1.0,0
299139129,0,16.0,2.99,2.0,3940352.0,2479.0,0,0,4,0.0,0.0,0.0,1.0,0
299471086,0,483.0,7.99,1.0,99019776.0,2606.0,0,0,4,0.0,0.0,0.0,1.0,0
299631906,0,75.0,2.99,1.0,5731328.0,3181.0,0,0,4,1.0,0.0,0.0,0.0,0
299813413,0,5629.0,4.99,11.0,93993984.0,3749.0,0,0,9,0.0,0.0,0.0,1.0,0
299878026,0,2482.0,0.99,2.0,14894080.0,3225.0,0,0,4,0.0,0.0,0.0,1.0,0
300025550,0,77.0,0.99,4.0,5044648.0,270.0,0,0,4,1.0,0.0,0.0,0.0,0
300893278,0,1461.0,0.0,2.0,2584622.0,237.0,0,0,4,1.0,0.0,0.0,0.0,0
301163765,0,75.0,4.99,2.0,18432000.0,2439.0,0,0,4,0.0,0.0,0.0,1.0,0
301418753,0,1741.0,0.0,1.0,2323719.0,942.0,0,0,4,0.0,0.0,0.0,0.0,0
301733979,0,6.0,0.0,1.0,1112393.0,0.0,0,0,4,1.0,0.0,0.0,0.0,0
301746785,0,740.0,0.99,1.0,15541248.0,2712.0,0,0,9,0.0,1.0,0.0,0.0,0
302312895,0,89.0,0.99,1.0,16785408.0,3545.0,0,0,4,0.0,0.0,0.0,0.0,0
302331458,0,187.0,0.0,1.0,25563136.0,2347.0,0,0,9,0.0,1.0,0.0,0.0,1
